Person_id,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,FB_PTS
1642189,Warknocks,DUX Infinitos,4,192,9,22,0.409,4,14,0.286,0,0,0.0,0,3,3,6,10,8,2,2,22,0
1600009,ReeseDaGod,Gen.G Tigers,4,192,28,52,0.538,12,26,0.462,10,10,1.0,0,1,1,11,11,6,11,0,78,3
1630966,gallow,Gen.G Tigers,4,192,20,36,0.556,16,27,0.593,8,9,0.889,0,2,2,43,3,0,13,0,64,0
1631271,LawRich,Gen.G Tigers,4,192,10,16,0.625,1,6,0.167,0,0,0.0,0,1,1,3,5,6,0,0,21,0
1641627,Jolo,Gen.G Tigers,4,192,12,22,0.545,6,13,0.462,0,0,0.0,2,20,22,4,13,3,1,5,30,0
1642192,ItsBoot,Gen.G Tigers,4,192,24,35,0.686,0,1,0.0,3,3,1.0,9,21,30,9,6,4,5,2,51,4
1600249,Vandi,Grizz Gaming,4,192,20,48,0.417,13,32,0.406,8,9,0.889,0,2,2,46,10,0,10,0,61,2
1630091,Spartxn,Grizz Gaming,4,192,16,22,0.727,2,3,0.667,7,10,0.7,11,29,40,7,6,1,6,1,41,0
1630403,rigby,Grizz Gaming,4,192,32,49,0.653,17,27,0.63,4,4,1.0,0,0,0,14,6,8,5,0,85,0
1630972,IcyyTheGoat,Grizz Gaming,4,192,23,33,0.697,3,8,0.375,0,0,0.0,0,3,3,1,10,4,2,0,49,4
1641609,OhDonn,Grizz Gaming,4,192,11,19,0.579,6,11,0.545,0,0,0.0,2,10,12,7,10,4,1,4,28,0
1630047,Duck,Hawks Talon GC,4,192,23,37,0.622,15,27,0.556,0,0,0.0,0,1,1,43,2,3,10,0,61,2
1630404,Low,Hawks Talon GC,4,192,28,34,0.824,0,0,0.0,5,6,0.833,10,31,41,11,10,3,4,3,61,0
1630420,UnderRatedGoat,Hawks Talon GC,4,192,27,36,0.75,8,12,0.667,0,0,0.0,3,2,5,7,6,7,3,0,62,0
